Peak.Humreffed	Peak.Chpreffed	ATAC11_SKM_Hyb1_Human_humreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_humreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_319605_promoter_CREB3L2	peak_CM_HP_MN_PP_SKM_319605_promoter_CREB3L2	71	108	71	108	0.006961190928254817
peak_CM_HP_MN_PP_SKM_192824_promoter_IKZF2	peak_CM_HP_MN_PP_SKM_192824_promoter_IKZF2	51	22	51	22	0.0009142745821630902
peak_CM_HP_MN_PP_SKM_188519_promoter_ATF2	peak_CM_HP_MN_PP_SKM_188519_promoter_ATF2	130	70	130	70	2.652875559526871e-05
peak_CM_HP_MN_PP_SKM_160427_promoter_ZNF43	peak_CM_HP_MN_PP_SKM_160427_promoter_ZNF43	52	23	52	23	0.0010795155066662817
peak_MN_SKM_193056_enhancer_MREG_217120.0_PECR_285328.5	peak_MN_SKM_193056_enhancer_MREG_215057.0_PECR_283379.5	27	8	27	8	0.0018782254774123432
peak_CM_HP_MN_PP_SKM_291_promoter_SLC35E2B	peak_CM_HP_MN_PP_SKM_291_promoter_SLC35E2B	56	25	56	25	0.000752126064634077
peak_CM_HP_MN_PP_SKM_158587_enhancer_C19orf67_3994.0_SAMD1_8940.5	peak_CM_HP_MN_PP_SKM_158587_enhancer_C19orf67_4002.5_SAMD1_9113.5	24	49	24	49	0.004626293921895512
peak_CM_HP_MN_PP_SKM_296328_promoter_EPB41L2	peak_CM_HP_MN_PP_SKM_296328_promoter_EPB41L2	22	50	22	50	0.0012935849626762883
peak_CM_HP_MN_PP_SKM_278522_promoter_SAP30L	peak_CM_HP_MN_PP_SKM_278522_promoter_SAP30L	93	51	93	51	0.0005851398425063666
peak_CM_MN_PP_SKM_168132_enhancer_ADI1_5910.5_RNASEH1_32860.5	peak_CM_MN_PP_SKM_168132_enhancer_ADI1_5935.0_RNASEH1_35571.0	10	33	10	33	0.0006061066312668117
peak_CM_HP_MN_PP_SKM_68040_promoter_NLRX1	peak_CM_HP_MN_PP_SKM_68040_promoter_NLRX1	11	35	11	35	0.0005355850721002753
peak_CM_HP_MN_PP_SKM_340098_promoter_LRRC24_C8orf82	peak_CM_HP_MN_PP_SKM_340098_promoter_LRRC24_C8orf82	70	108	70	108	0.0054010329732476015
peak_CM_HP_MN_PP_SKM_341539_promoter_MPDZ	peak_CM_HP_MN_PP_SKM_341539_promoter_MPDZ	54	23	54	23	0.0005387801699960486
peak_CM_HP_MN_PP_SKM_52669_promoter_ZNF214_NLRP14	peak_CM_HP_MN_PP_SKM_52669_promoter_ZNF214_NLRP14	31	8	31	8	0.0002940768754342571
peak_CM_HP_MN_PP_SKM_2784_promoter_PLOD1	peak_CM_HP_MN_PP_SKM_2784_promoter_PLOD1	35	12	35	12	0.0010885382064742541
peak_CM_MN_SKM_304573_enhancer_STEAP1B_54541.0_RAPGEF5_88529.5	peak_CM_MN_SKM_304573_enhancer_STEAP1B_54537.0_RAPGEF5_88327.0	30	9	30	9	0.0010650196345523
peak_SKM_292811_enhancer_FHL5_112730.5_UFL1_153799.0	peak_SKM_292811_enhancer_FHL5_112668.5_UFL1_153758.5	38	14	38	14	0.0011951203200073481
peak_CM_HP_MN_PP_SKM_53720_enhancer_ARNTL_267962.5_TEAD1_335419.0	peak_CM_HP_MN_PP_SKM_53720_enhancer_ARNTL_265792.5_TEAD1_335265.0	10	28	10	28	0.0050976432976312935
peak_CM_HP_MN_PP_SKM_133636_promoter_ZBTB4_SLC35G6	peak_CM_HP_MN_PP_SKM_133636_promoter_SLC35G6_ZBTB4	39	70	39	70	0.003854108187381302
peak_CM_HP_MN_PP_SKM_162844_promoter_ZFP36	peak_CM_HP_MN_PP_SKM_162844_promoter_ZFP36	33	62	33	62	0.0038328723848755596
peak_CM_HP_MN_PP_SKM_243314_promoter_MAEA	peak_CM_HP_MN_PP_SKM_243314_promoter_MAEA	32	66	32	66	0.0007698826407272644
peak_CM_HP_MN_PP_SKM_167492_promoter_ZNF132	peak_CM_HP_MN_PP_SKM_167492_promoter_ZNF132	28	8	28	8	0.0011932429624721408
peak_CM_HP_MN_PP_SKM_213107_promoter_PDE9A	peak_CM_HP_MN_PP_SKM_213107_promoter_PDE9A	20	43	20	43	0.005152397042092064
peak_CM_HP_MN_PP_SKM_61326_promoter_TPCN2	peak_CM_HP_MN_PP_SKM_61326_promoter_TPCN2	20	47	20	47	0.0013071686857635996
peak_CM_HP_MN_PP_SKM_332282_promoter_IMPA1	peak_CM_HP_MN_PP_SKM_332282_promoter_IMPA1	9	29	9	29	0.0016580525261815637
peak_CM_HP_MN_PP_SKM_52568_promoter_TRIM3	peak_CM_HP_MN_PP_SKM_52568_promoter_TRIM3	15	38	15	38	0.0021901868838920535
peak_CM_HP_MN_PP_SKM_173771_promoter_PPM1B	peak_CM_HP_MN_PP_SKM_173771_promoter_PPM1B	153	96	153	96	0.0003668037349338276
peak_CM_HP_MN_PP_SKM_68077_promoter_C1QTNF5	peak_CM_HP_MN_PP_SKM_68077_promoter_C1QTNF5	58	26	58	26	0.0006279472715818216
peak_CM_HP_MN_PP_SKM_159008_enhancer_OR10H1_28489.5_OR10H5_42665.5	peak_CM_HP_MN_PP_SKM_159008_enhancer_OR10H3_63658.5_CYP4F2_65732.5	34	60	34	60	0.009547810466077417
peak_CM_PP_SKM_277422_enhancer_DPYSL3_100821.5_JAKMIP2_228193.5	peak_CM_PP_SKM_277422_enhancer_DPYSL3_101624.5_JAKMIP2_228174.0	17	38	17	38	0.006455803109956635
peak_CM_HP_MN_PP_SKM_75863_promoter_YAF2	peak_CM_HP_MN_PP_SKM_75863_promoter_YAF2	64	32	64	32	0.001424496094649118
peak_CM_HP_MN_PP_SKM_349398_enhancer_ABCA1_58994.0_NIPSNAP3B_104978.5	peak_CM_HP_MN_PP_SKM_349398_enhancer_ABCA1_58893.0_NIPSNAP3B_105253.0	34	12	34	12	0.0016414913408482334
peak_CM_HP_MN_PP_SKM_72121_promoter_SPSB2	peak_CM_HP_MN_PP_SKM_72121_promoter_SPSB2	72	38	72	38	0.001533052576472405
peak_CM_HP_MN_PP_SKM_98379_enhancer_TPP2_4784.5_METTL21C_112104.5	peak_CM_HP_MN_PP_SKM_98379_enhancer_TPP2_4775.0_METTL21C_114168.5	16	37	16	37	0.005486344876760141
peak_CM_SKM_85696_enhancer_TRAFD1_3446.0_NAA25_13301.5	peak_CM_SKM_85696_enhancer_TRAFD1_3455.0_NAA25_13420.0	9	27	9	27	0.00393317302223295
peak_CM_HP_MN_PP_SKM_177619_promoter_LOXL3_DOK1	peak_CM_HP_MN_PP_SKM_177619_promoter_LOXL3_DOK1	95	53	95	53	0.00069791438751009
